word_id,example_phrase_english,example_phrase_polish,example_sentence_english,explanation
546,The crest of a hill,Szczyt wzgórza,From the crest of the hill we could see the entire valley below.,"The highest point or peak of something, often used in the context of mountains or hills. It can also refer to the top or highest point of a wave or other object or structure. It can be used in the context of achievement or success, such as reaching the crest of a career or business, or in the context of symbolism or imagery, such as the crest"
547,She quickly dropped off to sleep.,Szybko zasnęła.,I dropped off during the boring movie.,"To fall asleep, often suddenly or unexpectedly. It can be used in the context of personal experiences, such as dropping off during a movie or lecture, or in the context of transportation or travel, such as dropping off on a long bus or train ride. It can also refer to a decrease or decline in quantity, quality, or intensity, such as a drop off in sales or a drop off in energy levels."
548,"She failed her exam; consequently, she has to retake it.",Objeła egzamin; wskutek tego musi go powtórzyć.,"I was up late last night. Consequently, I am very tired today.","A word used to indicate a logical or causal connection between two or more events or situations, often indicating that one event or situation has resulted or followed from another. It can be used in the context of reasoning or argumentation, such as drawing a conclusion or making a prediction based on previous evidence, or in the context of everyday life, such as explaining the consequences or outcomes of a particular action or decision."
549,The coach's goal was to unify the team.,Celem trenera było jednoczenie drużyny.,The party aims to unify the country after years of division.,"To bring together or unite two or more separate entities or groups into a single whole or entity. It can be used in the context of politics or government, such as unifying different regions or groups under a single authority, or in the context of personal relationships or organizations, such as unifying different perspectives or interests into a common goal or purpose. It can also refer to the act of making uniform or consistent, such as unifying policies or practices across different departments or organizations."
550,Which constituency do you live in?,W którym okręgu wyborczym mieszkasz?,The MP has been working hard to gain the support of his constituency.,"Refers to a group of people who share a common interest, identity, or political affiliation, often used in the context of politics or government. It can refer to a geographic area represented by an elected official or candidate, such as a constituency or district, or to a group of people who support or vote for a particular candidate or party, such as a political constituency or base. It can also refer to a group of customers or clients served by a particular business or organization, such as a market constituency or target audience."
551,They had a quarrel over money.,Mieli kłótnię o pieniądze.,"We had a quarrel, but we made up afterwards.","A heated argument or dispute between two or more people, often involving shouting or angry words. It can be used in the context of personal relationships, such as a quarrel between friends or family members, or in the context of politics or society, such as a quarrel between different groups or factions. It can also refer to a minor disagreement or dispute, such as a quarrel over a small matter or detail."
552,an accurate measurement,dokładny pomiar,The weather forecast was accurate.,"Refers to something that is free from error, mistakes, or discrepancies, often characterized by a high degree of precision or correctness. It can be used in the context of measurements or data, such as accurate measurements or accurate data analysis, or in the context of personal or professional behavior, such as accurate reporting or accurate record-keeping. It can also refer to a person or thing that is reliable or trustworthy, such as an accurate source of information or an accurate depiction of events."
553,a decimal point,kropka dziesiętna,"In mathematics, decimals are used to represent parts of a whole.","Refers to a numerical system based on the number ten, often used in mathematics, science, or finance. It can be used in the context of calculations or measurements, such as decimal fractions or decimal points, or in the context of money or finance, such as decimal currency or"
554,"""A rolling stone gathers no moss.""","""Kamień, który nie zdołał zbić mossu, nie zaczynać się kołysać.""","""As the proverb goes, a rolling stone gathers no moss.""","A short, pithy saying or phrase that expresses a commonly held belief or moral principle. It can be used in the context of cultural or traditional wisdom, such as a proverb passed down through generations, or in the context of literary or poetic expression, such as using proverbs to add depth or meaning to a story or poem. It can also refer to a wise or insightful observation or piece of advice, such as a proverb about the importance of hard work or honesty."
555,"""The principle of least action.""","""Zasada najmniejszej akcji.""","""The principle of least action is used to derive the equations of motion.""","A fundamental or basic truth or belief that serves as the foundation for a particular system or philosophy. It can be used in the context of science or mathematics, such as the principles of physics or calculus, or in the context of ethics or morality, such as the principles of justice or compassion. It can also refer to a guiding or governing rule or standard, such as the principles of good governance or the principles of effective communication."
556,"""I feel ashamed of what I did.""","""Czuję się zawstydzony z powodu tego, co zrobiłem.""","""He was ashamed of his behavior at the party.""","To feel embarrassed, guilty, or humiliated about something that one has said or done. It can be used in the context of personal behavior or actions, such as feeling ashamed about a mistake or wrongdoing, or in the context of social or cultural norms, such as feeling ashamed about a particular identity or trait. It can also refer to a feeling of regret or remorse, such as feeling ashamed about past choices or decisions."
557,"""The hill is very steep.""","""Wzgórze jest bardzo strome.""","""The hike was challenging due to the steep incline.""","Refers to a sharp or sudden incline or slope, often used in the context of geography or topography. It can be used in the context of physical features, such as a steep mountain or hill, or in the context of metaphorical or symbolic meanings, such as a steep learning curve or a steep price. It can also refer to a high or significant degree or level, such as a steep increase or a steep decline."
558,"""He suffered minor injuries in the accident.""","""On doznał drobnych obrażeń w wyniku wypadku.""","""She is considering taking a minor in psychology.""","Refers to something that is of lesser importance, significance, or magnitude, often used in comparison to something else that is larger, more important, or more significant. It can be used in the context of personal qualities or characteristics, such as a minor flaw or a minor accomplishment, or in the context of academic or professional achievement, such as a minor degree or a minor publication. It can also refer to a legal or social status, such as a minor child or a minor offense."
559,"""She has a natural aptitude for music.""","""Ona ma naturalną zdolność do muzyki.""","""His aptitude for math made him a top student in the class.""","Refers to a natural ability or talent for a particular skill or activity, often characterized by ease or proficiency. It can be used in the context of personal strengths or weaknesses, such as having an aptitude for mathematics or language, or in the context of vocational or educational pursuits, such as having an aptitude for a particular trade or profession. It can also refer to a capacity or readiness for learning or understanding, such as having an aptitude for critical thinking or problem-solving."
560,"""Let's go ice skating at the rink.""","""Chodźmy na łyżwy na lodowisko.""","""The figure skating competition was held at the local rink.""","A flat, smooth surface, often made of ice or a similar material, used for skating, hockey, or other ice-based sports or activities. It can be used in the context of leisure or recreation, such as going to the rink for ice-skating or hockey, or in the context of competitive sports, such as participating in a skating or hockey competition on a rink. It can also refer to a circular or oval-shaped area or enclosure, such as a roller-skating rink or a dance rink. Additionally, ""rink"" can be used metaphorically to refer to any enclosed or bounded space or area, such as a political or social arena in which competition or conflict takes place."
561,"""The frequency of the sound wave is measured in hertz.""","""Częstotliwość fali dźwiękowej jest mierzona w hercach.""","""The frequency of the radio signal was too weak to receive a clear transmission.""","Refers to the rate or number of occurrences of an event or phenomenon within a given period of time. It can be used in the context of physical or natural processes, such as the frequency of waves or oscillations, or in the context of human behavior or communication, such as the frequency of phone calls or emails. It can also refer to a measure of the reliability or validity of a particular measure or tool, such as the frequency of errors or inaccuracies in a survey or experiment."
562,"""She used an eraser to erase the mistake.""","""Ona użyła gumki do zmazania błędu.""","""The whiteboard can be easily erased with a dry cloth.""","To remove or eliminate something completely or thoroughly, often using an eraser or similar tool. It can be used in the context of writing or drawing, such as erasing a mistake or sketch, or in the context of memory or history, such as erasing a memory or an event from one's mind. It can also refer to a process of deleting or removing data or information from a digital device or system, such as erasing a file or a hard drive."
563,I used a yellow highlighter to mark the important information in the text.,Zastosowałem żółty zakreślacz do oznaczenia ważnych informacji w tekście.,Using a highlighter to mark important information is a common practice.,"A colored marker or pen used to emphasize or draw attention to specific text or information, often used in the context of reading or studying. It can be used in the context of academic or professional work, such as highlighting key concepts or ideas in a text, or in the context of personal or creative writing, such as highlighting important details or themes in a story or poem. It can also refer to a person or thing that stands out or is particularly noticeable or noteworthy, such as a highlighter among other office supplies or a highlighter moment in a film or TV show."
564,The company announced a promotion for its employees who met certain criteria.,"Firma ogłosiła promocję dla pracowników, którzy spełnili określone kryteria.",Promotions can be a motivator for employees to perform better.,"Refers to the process or action of promoting or advancing something or someone to a higher or more favorable position or status. It can be used in the context of career or employment, such as a job promotion or a promotional opportunity, or in the context of marketing or advertising, such as a promotional campaign or strategy. It can also refer to the act of supporting or advocating for a particular idea, cause, or belief, such as the promotion of human rights or environmental sustainability."
565,The temperature is expected to decrease in the evening.,Temperatura ma spaść wieczorem.,Decreasing carbon emissions is necessary to combat climate change.,"To become smaller, fewer, or less in amount or number over time. It can be used in the context of physical or material objects, such as a decrease in the size or weight of an object, or in the context of abstract concepts, such as a decrease in the level of stress or anxiety. It can also refer to a process of reducing or lowering something intentionally or unintentionally, such as decreasing the amount of sugar in a recipe or decreasing the amount of pollution in a city."
566,The athlete's hard work and dedication were the merits that earned him the gold medal.,"Ciężka praca i poświęcenie sportowca były jego zasługami, które przyniosły mu złoty medal.",Merit-based promotions are becoming more popular in companies.,"Refers to the quality or worth of something or someone, often based on their achievements, actions, or character. It can be used in the context of personal or professional evaluation, such as considering the merit of a job applicant or a research proposal, or in the context of social or cultural recognition, such as the merit of a literary or artistic work. It can also refer to a reward or recognition given for a particular achievement or accomplishment, such as a merit-based scholarship or a merit badge in scouting. Additionally, ""merit"" can be used as a verb to describe deserving or earning something based on one's actions or character, such as meriting praise or merit."
567,The amusement park was full of exciting rides and attractions.,Park rozrywki był pełen ekscytujących przejażdżek i atrakcji.,Laughter is a sign of amusement.,"Refers to the state or experience of being entertained or amused by something, often involving humor, enjoyment, or pleasure. It can be used in the context of personal or social leisure, such as seeking amusement through watching a movie or playing a game, or in the context of public or commercial entertainment, such as attending an amusement park or a comedy show. It can also refer to a state of lightheartedness or playfulness, such as the amusement of children playing together or the amusement of pets chasing each other."
568,The palm tree swayed in the breeze.,Palma kołysała się na wietrze.,Palm reading is a popular form of divination.,"Refers to the inner surface of the hand, often used in the context of anatomy or physiology. It can also refer to a type of tree or plant with large leaves or fronds, such as the palm tree, or to the fruit of such a tree, such as the coconut palm. Additionally, ""palm"" can be used as a verb to describe concealing something in the hand or hands, such as palming a card during a magic trick or palming a stolen item."
569,The unification of Germany and Italy happened in the late 19th century.,Zjednoczenie Niemiec i Włoch nastąpiło pod koniec XIX wieku.,The unification of the two companies created a global powerhouse.,"Refers to the process or action of bringing together or uniting separate or disparate elements into a single, coherent whole. It can be used in the context of political or social movements, such as the unification of a divided country or the unification of different factions or groups, or in the context of technological or scientific standardization, such as the unification of a software platform or a measurement system. It can also refer to a state or condition of being unified or integrated, such as the unification of a language or a culture."
570,The fall term at university starts in September.,Semestr jesienny na uniwersytecie zaczyna się we wrześniu.,We need to set a clear term for the completion of this project.,"Refers to a fixed or defined period of time or duration, often used in the context of academic or legal proceedings. It can be used in the context of school or university, such as a semester or a quarter term, or in the context of law or contracts, such as a term of a lease or a term of office. It can also refer to a specific word or phrase used in a particular context or field, such as a technical term in science or a slang term in popular culture. Additionally, ""term"" can be used as a verb to describe naming or defining something, such as terming a concept or a phenomenon."
571,I'm afraid you misunderstood what I said.,"Obawiam się, że źle zrozumiałeś, co powiedziałem.",Let me clarify so that there is no chance of misunderstanding.,"To fail to understand or interpret something correctly or accurately, often due to confusion, miscommunication, or lack of knowledge or context."
572,I need to sweep the kitchen floor.,Muszę zamiatać podłogę w kuchni.,The wind swept the leaves from the trees.,To clean or move something using a broom or a similar tool.
573,We need to have a meeting regarding the budget.,Musimy mieć spotkanie odnośnie budżetu.,"Regarding your question, I'll get back to you as soon as possible.",Relating to or concerning a particular topic or issue.
574,The house is surrounded by trees.,Dom jest otoczony drzewami.,The fortress was surrounded by a moat.,To encircle or encompass something or someone.
575,The development of new technologies has revolutionized our world.,Rozwój nowych technologii zrewolucjonizował nasz świat.,The city is undergoing rapid development.,"The process of growth or progress, often in a particular area or field. It can refer to personal, social, or economic advancement, or technological and scientific innovations."
576,Religious beliefs can be a source of comfort for some people.,Wierzenia religijne mogą być źródłem pocieszenia dla niektórych osób.,"I respect your belief, even though I may not share it.","A mental attitude or conviction held to be true, often based on faith or trust. It can refer to religious or spiritual beliefs, as well as personal or cultural values and assumptions."
577,We took the trash to the dump.,Zawieźliśmy śmieci na wysypisko.,The construction workers emptied the dump truck.,"A site for depositing waste materials, often in an unauthorized or illegal manner. Can also refer to discarded or unwanted items, as well as a sudden and abrupt cessation of a romantic relationship."
578,garbage dump,wysypisko śmieci,We need to take the trash to the dump.,"A small, square or rectangular tile used for flooring, walls, or other decorative purposes. Can also refer to a pile or heap of such tiles."
579,electrician,elektryk,We need to call an electrician to fix the wiring.,"A person who specializes in the installation, maintenance, and repair of electrical systems, equipment, and devices."
580,tick,zaznaczyć,Put a tick next to the correct answer.,"A small mark or check used to indicate or confirm something, often on a list or form. Can also refer to a small, blood-sucking arachnid, or a clicking or tapping sound."
581,whereas,podczas gdy,"He is tall, whereas she is short.",Used to contrast two different facts or situations. It can also be used to introduce a clause that expresses a contrast or a concession.
582,bread slice,kromka chleba,"Could you cut me a slice of cake, please?","A thin, flat piece or portion of something, often cut or divided from a larger whole. Can also refer to a portion or share of something, as well as a sound made by cutting or slicing."
583,unforgettable,niezapomniany,The view from the top was unforgettable.,"So memorable or remarkable as to be unforgettable. Can refer to experiences, events, or people that leave a lasting impression or impact."
584,artificial,sztuczny,The flowers looked so artificial.,"Made or produced by human beings rather than occurring naturally. Can refer to materials, substances, or environments that are not organic or genuine, as well as behaviors or emotions that are insincere or affected."
585,orange peel,skórka pomarańczy,"Could you peel the potatoes for me, please?","The outermost layer or skin of a fruit, vegetable, or other food item. Can also refer to the act of removing or shedding such a layer, as well as the thin, flaky layer that peels off a surface, such as paint or wallpaper."
586,famous saying,słynne powiedzenie,"""When in Rome, do as the Romans do"" is a famous saying.","A short, pithy expression or proverbial statement that conveys a general truth or moral lesson. Can also refer to a popular or commonly used phrase or expression."
587,live apart,żyć osobno,They decided to live apart for a while.,"Separated or disconnected from something or someone else, either physically or conceptually. Can also refer to being distinct or unique, as well as being mentally or emotionally distant or detached."
588,sack,worek,They sacked him for being late too often.,"To terminate or dismiss someone from employment, often suddenly or without warning. Can also refer to a large, bag-like container used for storing or transporting goods, or a football tackle in which the defender tackles the quarterback behind the line of scrimmage."
589,taxi fare,opłata za taksówkę,How much is the train fare to London?,"The price or fee charged for a service, such as transportation or admission. Can also refer to the range or variety of food or drink available, especially in a particular region or cuisine."
590,significant impact,znaczący wpływ,The new policy had a significant impact on the economy.,"Having great importance, meaning, or consequence. Can refer to the impact or influence of something, as well as the size or extent of a quantity or value."
591,I'm going to watch the game on telly.,Idę obejrzeć mecz w telewizji.,Telly used to be the centerpiece of the living room.,"A slang term for television, often used in British English. Can also refer to a device or system used for transmitting or receiving television signals."
592,He worked hard to overcome his fear of heights.,"On ciężko pracował, aby pokonać swój lęk wysokości.","With her determination, she was able to overcome all obstacles.","To succeed in dealing with or defeating something or someone, often through great effort or determination. Can also refer to overcoming a personal or psychological obstacle or challenge."
593,She sighed and looked out the window.,Westchnęła i spojrzała przez okno.,He let out a deep sigh of relief.,"To exhale audibly and heavily, often as an expression of fatigue, frustration, or relief. Can also refer to a sound made by wind or a bellows, or a gentle blowing or movement of air."
594,She was finally able to convince him to go to the party.,"W końcu udało jej się przekonać go, aby poszedł na imprezę.",He tried to convince her that it was a bad idea.,"To persuade or influence someone to believe or accept something, often through reasoning or argumentation. Can also refer to being convinced or persuaded oneself."
595,I can't refer to my notes during the exam.,Nie mogę odwoływać się do moich notatek podczas egzaminu.,"When you refer to the report, please keep in mind the latest updates.","To mention or allude to something or someone, often as a source of information or authority. Can also refer to directing or sending someone or something to a particular person or place, or to being associated or connected with something else."
596,She felt faint after standing in the hot sun for hours.,Poczuła się słabo po staniu w gorącym słońcu przez kilka godzin.,He almost fainted when he saw the blood.,"Lacking in strength, intensity, or clarity, often to the point of being barely perceptible. Can also refer to feeling lightheaded or dizzy, or to losing consciousness temporarily."
597,The airplane was taxiing down the runway.,Samolot kołował po pasie startowym.,The athlete tripped on the runway and fell.,"A long, paved surface used for takeoff and landing of aircraft. Can also refer to a long, narrow stage used for fashion shows or other events, or a straight, level strip of ground used for racing or testing vehicles."
598,The amusement park has many attractions for kids.,Park rozrywki ma wiele atrakcji dla dzieci.,The beauty of the city is one of its main attractions.,"The quality or feature that draws or appeals to people, often in a physical or emotional sense. Can also refer to a place or destination that is popular or interesting, or to the act of drawing or pulling something toward oneself."
599,Make sure to wash your hands properly before eating.,"Upewnij się, że dokładnie umyłeś ręce przed jedzeniem.",He wasn't properly dressed for the formal occasion.,"In a correct, appropriate, or suitable manner, often according to established rules or standards. Can also refer to adequately or sufficiently performing a task or function, or to behaving or acting in a socially acceptable or morally upright way."
600,The weather can affect your mood.,Pogoda może wpłynąć na nastrój.,The policy change is expected to affect thousands of workers.,"To influence or produce a change in something or someone, often in an emotional, physical, or cognitive sense. Can also refer to the act of touching or moving something, or to the outward display of one's emotions or attitudes."
601,I feel so merry today.,Czuję się dziś bardzo wesoły.,She was singing a merry tune.,Describing a joyful or cheerful mood or atmosphere. Often used in the context of holidays or celebrations.
602,The conductor checked my train ticket.,Konduktor sprawdził mój bilet na pociąg.,He studied to become an electrical conductor.,A person who directs an orchestra or other musical ensemble. Also refers to a material that allows electricity to flow.
603,The hotel has excellent facilities for guests.,Hotel ma doskonałe udogodnienia dla gości.,Our office has a gym and other facilities for employees.,"Refers to buildings, equipment, or other resources provided for a particular purpose. Can also refer to amenities or services offered."
604,There was confusion over the meeting time.,Było zamieszanie z powodu czasu spotkania.,The new instructions caused some confusion among the employees.,A state of being bewildered or unclear about something. Often caused by a lack of understanding or conflicting information.
605,The publisher released a new book.,Wydawca wydał nową książkę.,The publisher rejected my manuscript.,"A person or company that produces and distributes books, magazines, or other printed works."
606,"The word ""apple"" has three vowels.","Słowo ""jabłko"" ma trzy samogłoski.",English has five vowels.,"A speech sound made with an open vocal tract, such as a, e, i, o, u."
607,The homeless sought shelter in the abandoned building.,Bezdomni szukali schronienia w opuszczonym budynku.,We took shelter from the rain under a tree.,A place of protection or refuge from danger or harsh conditions. Can refer to a physical structure or a state of being protected.
608,She contributed a lot to the success of the project.,Ona wiele przyczyniła się do sukcesu projektu.,Everyone is encouraged to contribute ideas.,"To give something, such as time, money, or effort, in order to help achieve a common goal or purpose."
609,He is a counsellor for troubled teenagers.,On jest doradcą dla niespokojnych nastolatków.,She is seeking the advice of a professional counsellor.,"A person trained to provide guidance or advice on personal, social, or psychological issues. Can also refer to a lawyer who represents a client."
610,The dessert was a delight.,Deser był przepyszny.,She delighted in telling stories to her grandchildren.,A feeling of great pleasure or joy. Can also refer to something that is very pleasing or enjoyable.
611,She wiped away a tear.,Ona otrzeła łzę.,The paper was easy to tear.,To pull apart or rip something forcefully. Also refers to a drop of liquid that comes out of the eye when crying or in response to an irritant.
612,He played a beautiful tune on his trumpet.,On zagrał pięknie na swojej trąbce.,The sound of the trumpet filled the room.,"A brass instrument with a flared bell and three valves, played by blowing air through a mouthpiece."
613,The train departs at 10 a.m.,Pociąg odjeżdża o 10:00.,He departed from the party early.,To leave or go away from a place. Can also refer to a scheduled departure time or a change in course or action.
614,The mother hen had five chicks.,Matka kura miała pięć kurcząt.,The children loved watching the chicks hatch.,"A baby bird, especially a young chicken."
615,My granny bakes the best cookies.,Moja babcia piecze najlepsze ciasteczka.,She visited her granny every Sunday.,Informal term for a grandmother.
616,She cooked dinner on the stove.,Ona ugotowała obiad na kuchence.,The wood stove kept the cabin warm in the winter.,"A device used for heating or cooking food, typically fueled by gas or electricity."
617,The bridegroom looked handsome in his suit.,Pan młody wyglądał przystojnie w swoim garniturze.,The bridegroom and his groomsmen arrived at the church early.,The groom on his wedding day.
618,She cooked a delicious roast for dinner.,Ona upiekła pyszną pieczeń na obiad.,The smell of the roast filled the house.,A large cut of meat cooked by roasting in an oven or over an open fire.
619,Check the timetable for the next bus.,Sprawdź rozkład jazdy na następny autobus.,The teacher handed out the timetable for the semester.,"A schedule or plan indicating the times at which specific events, such as classes or transportation, are scheduled to take place."
620,The mare gave birth to a beautiful foal.,Klacz urodziła piękne źrebię.,The foal took its first steps shortly after being born.,"A young horse, typically under one year old."
621,The hen laid six eggs this week.,Kura złożyła sześć jaj w tym tygodniu.,The farmer keeps a flock of hens for their eggs.,A female chicken.
622,We're going on vacation for a fortnight.,Jedziemy na wakacje na dwa tygodnie.,The construction project is scheduled to last a fortnight.,A period of two weeks.
623,I always sneeze when I'm allergic to cats.,"Zawsze kicham, gdy mam alergię na koty.",She tried to stifle a sneeze during the important meeting.,A sudden expulsion of air from the nose and mouth caused by irritation or infection.
624,Can you pardon me for interrupting?,Czy może mi pan/u Pani wybaczyć za przerwanie?,He asked for a pardon after being found guilty of the crime.,To forgive or excuse a wrongdoing. Can also refer to an official act of forgiveness or leniency granted by a government or authority.
625,He filled up his car with petrol.,On zatankował swoje auto benzyną.,The price of petrol has gone up again.,"A flammable liquid used as fuel for internal combustion engines, typically in vehicles."
626,The farmer's sow gave birth to ten piglets.,Maciora rolnika urodziła dziesięć prosiąt.,The children loved playing with the piglets on the farm.,A young pig.
627,The weather was dreadful all weekend.,Pogoda była straszna przez cały weekend.,She had a dreadful experience at the amusement park.,"Causing or involving great fear, suffering, or unhappiness. Can also mean extremely unpleasant or bad."
628,The number six is an even number.,Liczba sześć jest liczbą parzystą.,Can you believe he won the game by an even score?,"Adverb: used to emphasize a comparative degree, or to suggest something surprising or unexpected. Adjective: describes something that is level, flat, or equal."
629,She pulled a muscle in her calf.,Ona naciągnęła mięsień w łydce.,He wore a compression sleeve on his calf to reduce swelling.,The back part of the leg between the knee and ankle. Also refers to a young cow or other mammal.
630,Can you help me mend this tear in my shirt?,Czy możesz pomóc mi naprawić ten rozdarcie w mojej koszuli?,She used a needle and thread to mend the hole in her jeans.,To repair or fix something that is broken or damaged. Can also refer to improving or restoring a relationship or situation.
631,He's a keen photographer.,On jest zapalonym fotografem.,She's a keen supporter of the local animal shelter.,Having a strong interest or enthusiasm for something. Can also mean sharp or intense.
632,The blanket was thick and warm.,Koc był gruby i ciepły.,The fog was so thick that you could hardly see in front of you.,Adjective: having a large distance between opposite sides or surfaces. Can also refer to a liquid or substance that is dense or viscous. Adverb: describes doing something with great force or density.
633,She had a plaster cast on her arm.,Miała gips na ramieniu.,He used plaster to fix the hole in the wall.,A material used for covering and protecting a wound or broken bone. Can also refer to a coating applied to walls or ceilings as a decorative or protective layer.
634,She had a job interview this morning.,Miała dzisiaj rano rozmowę kwalifikacyjną.,He was nervous about his upcoming interview for the promotion.,"A formal meeting or conversation conducted to assess a person's suitability for a job, or to gather information through questioning."
635,They went on a honeymoon to Hawaii.,Pojechali na miesiąc miodowy na Hawaje.,The couple enjoyed a romantic honeymoon in Paris.,"A period of time spent by newlyweds after their wedding, typically for a vacation or romantic getaway."
636,She got a great bargain on the dress.,Dostała świetną okazję na sukienkę.,He bargained with the salesman to get a lower price on the car.,An agreement made between parties regarding the price or terms of something. Can also refer to something purchased at a lower than expected cost.
637,He adjusted the pitch of his voice.,On dostosował wysokość tonu swojego głosu.,The singer's pitch was off during the first song.,"The perceived highness or lowness of a sound, determined by the frequency of its vibrations. Can also refer to the level or angle of a surface, or a location where a product or idea is presented."
638,Don't waste your time on that.,Nie marnuj na to swojego czasu.,He recycled all of his waste to reduce his carbon footprint.,Noun: materials or resources that are no longer useful or needed. Can also refer to the act of using or expending something without need or purpose. Verb: to use or expend something carelessly or unnecessarily.
639,The wind blew the leaves off the trees.,Wiatr zerwał liście z drzew.,He delivered the final blow to his opponent in the boxing match.,"Noun: a sudden impact or strike. Verb: to move or cause to move with force or speed, often involving the movement of air."
640,I'm going to visit my niece this weekend.,W ten weekend idę odwiedzić moją siostrzenicę.,Her niece is a talented artist who recently had her work featured in a local gallery.,A daughter of one's brother or sister.
641,His niece is a talented artist.,Jego siostrzenica jest utalentowaną artystką.,She loved spending time with her nieces and nephews.,A son of one's brother or sister.
642,"""And"", ""but"", and ""or"" are examples of conjunctions.","""I"", ""ale"" i ""albo"" to przykłady spójników.",He used a conjunction to join the two sentences together.,"A word used to connect clauses or sentences. Examples include and, or, but, and so."
643,She boiled water in a saucepan.,Zagotowała wodę w rondlu.,He cooked the soup in a large saucepan.,"A deep cooking pot with a handle and often a lid, used for boiling or stewing food."
644,The remote island was uninhabited.,Odległa wyspa była niezamieszkała.,The cabin was located in a remote part of the forest.,Far away in distance or time. Can also refer to something that is unlikely or not closely related.
645,The balloon popped when she tried to blow it up.,"Balon pękł, gdy próbowała go nadmuchać.",The popcorn was popping in the microwave.,"Verb: to make a sudden, sharp sound. Noun: a short, explosive sound. Can also refer to a style of music characterized by a simple, catchy melody and upbeat rhythm."
646,"""Quickly"", ""slowly"", and ""quietly"" are examples of adverbs.","""Szybko"", ""wolno"" i ""cicho"" to przykłady przysłówków.",He used an adverb to modify the verb in his sentence.,"A word used to modify or describe a verb, adjective, or other adverb. Often used to indicate how, when, or where something happened."
647,The stand collapsed under the weight of the TV.,Podstawa ugięła się pod ciężarem telewizora.,He took a stand against the new company policy.,Verb: to be in an upright position on one's feet. Noun: an opinion or viewpoint on a particular issue. Can also refer to a support or platform used to hold or display something.
648,We walked along the beach.,Spacerowaliśmy wzdłuż plaży.,"He moved along the assembly line, inspecting each product.",Adverb: describes moving in a particular direction or alongside something. Preposition: indicates movement or position in a particular direction or alongside something.
649,Please dial the number and then press the pound key.,"Proszę wybrać numer, a następnie nacisnąć klawisz #.","She couldn't remember the phone number, so she had to look it up in the directory and then dial it.",Noun: the face or plate of a clock or telephone. Verb: to select or enter a telephone number using a dial or keypad.
650,The mail carrier delivered the package.,Przewoźnik pocztowy dostarczył paczkę.,The crane lifted the heavy load onto the carrier.,A person or company that transports or delivers goods or passengers. Can also refer to a device or object used for carrying or holding something.
651,He shaved his beard with a razor.,Ogolił swoją brodę maszynką do golenia.,She accidentally cut herself with the razor while shaving her legs.,A tool used for shaving hair from the face or body.
652,He packed his rucksack for the camping trip.,Zapakował swój plecak na wycieczkę kampingową.,She carried her laptop in her rucksack.,"A bag with shoulder straps, used for carrying belongings on the back."
653,The rug was soft and fluffy.,Dywan był miękki i puszysty.,He cleaned the stains off the rug with a special carpet cleaner.,"A floor covering made of woven or knitted fabric, typically used to cover a portion of a room."
654,She paid for her groceries at the checkout.,Zapłaciła za swoje zakupy przy kasie.,He asked the front desk for a late checkout so he could sleep in.,Noun: the process of paying for goods or services at a store or hotel. Verb: to complete the process of paying for goods or services at a store or hotel. Can also refer to the area where this process takes place.
655,Her room was always untidy.,Jej pokój zawsze był nieuporządkowany.,The construction site was untidy and dangerous.,Not neat or well-organized. Can also refer to a person's appearance or behavior.
656,She combed her hair before leaving the house.,Przeczesywała włosy przed wyjściem z domu.,He found a comb on the beach and used it to groom his dog.,A tool used for untangling or arranging hair or fur.
657,Warsaw is the capital of Poland.,Warszawa jest stolicą Polski.,He invested his capital in a startup company.,Noun: the most important city or town of a country or region. Can also refer to a supply of wealth or resources used to start or invest in a business.
658,She loved listening to folk music.,Uwielbiała słuchać muzyki ludowej.,The folk traditions of the region were celebrated during the annual festival.,"Refers to people in general or a particular group of people sharing common characteristics or customs. Can also refer to traditional music, art, or literature passed down through generations."
659,They have a large reserve of food.,Mają dużą rezerwę jedzenia.,The company maintains a reserve of cash to cover unexpected expenses.,A type of legume commonly used in soups and stews. Can also refer to a supply of something kept in reserve for future use.
660,He kept a reserve of cash in case of emergencies.,Miał rezerwę gotówki na wypadek nagłych sytuacji.,She showed reserve in her interactions with her coworkers.,Noun: a supply of something kept in reserve for future use. Can also refer to a nature reserve or protected area. Verb: to hold or set aside for future use. Can also refer to exhibiting restraint or a lack of emotion.
661,She stored the meat in the freezer.,Przechowywała mięso w zamrażarce.,He bought a larger freezer to accommodate all of his frozen goods.,An appliance used for freezing and storing food at very low temperatures.
662,He played the clarinet in the school band.,Grał na klarnecie w szkolnej orkiestrze.,She listened to a beautiful clarinet solo during the concert.,A woodwind instrument with a single-reed mouthpiece and a cylindrical tube with a flared end.
663,She asked for a receipt after paying for the merchandise.,Poprosiła o paragon po zapłaceniu za towary.,He kept the receipt as proof of purchase.,A written or printed record of a purchase or payment. Can also refer to the act of receiving something.
664,She corrected the spelling errors in her essay.,Poprawiła błędy pisowni w swoim eseju.,He struggled with the spelling of certain words.,The act or process of forming words by the correct arrangement of letters.
665,She was fond of animals.,Lubiła zwierzęta.,He was fond of his old car and refused to get rid of it.,"Having a strong liking or affection for someone or something. Can also refer to a cooking base made from meat, fish, or vegetables."
666,She colored with a crayon.,Kolorowała kredkami.,He used a crayon to make a drawing for his daughter.,A stick of colored wax used for drawing or coloring.
